zeruanviajes,administracion,estado-cuenta,17,15,00:00:14,0,"0
lamastour,administracion,estado-cuenta,16,10,00:00:28,1,"0
travelwise,administracion,estado-cuenta,16,15,00:01:20,0,"0
correntur,administracion,estado-cuenta,15,11,00:01:56,0,"0
toulouseviajes,administracion,estado-cuenta,15,3,00:00:08,0,"0
turismomazza,administracion,estado-cuenta,15,10,00:00:14,0,"0
atypicaviajes,administracion,estado-cuenta,14,7,00:00:26,0,"0
caofranquiciadeonetrip,administracion,estado-cuenta,14,12,00:03:38,0,"0
KaizenViajes,administracion,estado-cuenta,14,11,00:04:19,1,"0
lasrosastravel,administracion,estado-cuenta,14,10,00:00:56,1,"0
tramuntana,administracion,estado-cuenta,14,11,00:05:42,2,"0
vuala,administracion,estado-cuenta,14,12,00:06:47,4,"100
agapeturismo,administracion,estado-cuenta,13,13,00:01:19,1,"0
battiatotravel,administracion,estado-cuenta,13,8,00:00:20,0,"0
calipsoviajes,administracion,estado-cuenta,13,9,00:00:29,0,"0
gramitour,administracion,estado-cuenta,13,11,00:03:23,1,"0
travellab,administracion,estado-cuenta,13,10,00:02:15,0,"0
aitanaviajes,administracion,estado-cuenta,12,9,00:04:47,1,"100
comdetur,administracion,estado-cuenta,12,11,00:07:14,1,"0
criscionetoursandtravel,administracion,estado-cuenta,12,11,00:03:19,3,"66
lucianosantillanfranquiciadelozadaviajes,administracion,estado-cuenta,12,5,00:00:19,0,"0
outletdeviajes,administracion,estado-cuenta,12,11,00:00:17,1,"0
pabloripoloni,administracion,estado-cuenta,12,5,00:03:12,0,"0
puntoarviajesyturismo,administracion,estado-cuenta,12,7,00:00:20,1,"0
turismobacur,administracion,estado-cuenta,12,8,00:09:54,0,"0
arubaviajes,administracion,estado-cuenta,11,10,00:00:24,0,"0
babelviaje,administracion,estado-cuenta,11,10,00:05:48,0,"0
kafferevyt,administracion,estado-cuenta,11,8,00:00:41,0,"0
luissanz,administracion,estado-cuenta,11,7,00:05:22,1,"100
resistenciaturismo,administracion,estado-cuenta,11,10,00:03:03,1,"0
yafardestinos,administracion,estado-cuenta,11,9,00:05:03,0,"0
delagranitaliaviajes,administracion,estado-cuenta,10,9,00:00:48,0,"0
elselloviajero,administracion,estado-cuenta,10,9,00:00:45,0,"0
mobiusviajes,administracion,estado-cuenta,10,9,00:07:27,0,"0
nanzerviajesyturismo,administracion,estado-cuenta,10,8,00:00:06,0,"0
nicetomeetyou,administracion,estado-cuenta,10,8,00:02:43,0,"0
othonviajes,administracion,estado-cuenta,10,7,00:00:08,0,"0
sayonaratour,administracion,estado-cuenta,10,8,00:00:27,1,"0
sesevi,administracion,estado-cuenta,10,3,00:00:08,0,"0
surbrasiltoursparaisosonline,administracion,estado-cuenta,10,5,00:00:07,1,"0
huelladeviaje,administracion,estado-cuenta,9,5,00:02:50,0,"0
nexus,administracion,estado-cuenta,9,9,00:03:55,0,"0
onetripurcacastrorimondino,administracion,estado-cuenta,9,4,00:00:12,0,"0
rominapepeconsultoradeviajes,administracion,estado-cuenta,9,9,00:05:29,1,"0
siurviajes,administracion,estado-cuenta,9,5,00:00:37,0,"0
aereosanabria,administracion,estado-cuenta,8,6,00:08:43,3,"200
algarroboviajesyturismo,administracion,estado-cuenta,8,7,00:03:59,1,"100
betelturismo,administracion,estado-cuenta,8,6,00:00:50,1,"0
carsosviajesyturismo,administracion,estado-cuenta,8,3,00:00:32,0,"0
josefinatravel,administracion,estado-cuenta,8,7,00:03:35,3,"0
jujuyviajesyturismoevt,administracion,estado-cuenta,8,2,00:00:47,1,"0
laquintaviajes,administracion,estado-cuenta,8,7,00:00:26,0,"0
laspalmeras,administracion,estado-cuenta,tipo,productos,8,7,00:06:09
newbiztravel,administracion,estado-cuenta,8,7,00:00:57,1,"0
obrasocialdocentesprivados,administracion,estado-cuenta,8,5,00:03:30,0,"0
planettravel,administracion,estado-cuenta,8,7,00:01:25,2,"0
soltravel,administracion,estado-cuenta,8,7,00:02:21,3,"200
tellevoviajes,administracion,estado-cuenta,8,7,00:04:23,0,"0
travelfresh,administracion,estado-cuenta,8,7,00:04:45,1,"0
verxelviajes,administracion,estado-cuenta,8,5,00:01:44,2,"50
viaromaviajes,administracion,estado-cuenta,8,7,00:12:29,0,"0
zonadepartida,administracion,estado-cuenta,8,8,00:02:31,2,"0
amarnaviajes,administracion,estado-cuenta,7,6,00:01:00,0,"0
ambarviajes,administracion,estado-cuenta,7,3,00:00:28,0,"0
carlettomathusviajesyturismo,administracion,estado-cuenta,7,6,00:00:31,1,"100
claseturista,administracion,estado-cuenta,7,5,00:00:12,0,"0
fidemviajes,administracion,estado-cuenta,7,5,00:00:16,0,"0
