# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201029-20201029
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/17-05-2021/22-05-2021?h1=3-10,12,2,00:03:00,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/01-03-2021/06-03-2021?h1=2&h2=3,7,1,00:04:52,1,"0,00 %","14,29 %","0,00 US$"
/es/delfos/productos/detalle/32970/bariloche-san-martin-de-los-andes?tipo=productos,6,5,00:06:40,1,"0,00 %","16,67 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/30-01-2021/01-02-2021?h1=2,5,3,00:08:21,0,"0,00 %","20,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/08-07-2021/10-07-2021?h1=2&h2=2,5,1,00:00:52,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7753/0/rio-de-janeiro-brasil/29-12-2020/02-01-2021?h1=2,5,1,00:01:13,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/02-09-2021/09-09-2021?h1=1,4,2,00:01:57,1,"0,00 %","25,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/10-01-2021/11-01-2021?h1=2,4,1,00:00:23,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/10-02-2021/11-02-2021?h1=2,4,1,00:00:46,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/32804/iguazu-clasico?tipo=productos,4,3,00:01:20,1,"0,00 %","75,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/03-01-2021/10-01-2021?h1=2,3,2,00:04:10,1,"100,00 %","66,67 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/19-01-2021/22-01-2021?h1=2,3,1,00:00:56,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/6305/0/natal-brasil/04-01-2021/11-01-2021?h1=2,3,1,00:00:57,0,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/22-05-2021/27-05-2021?h1=3-10,3,1,00:10:54,0,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/7200/0/playa-del-carmenriviera-maya-mexico/28-12-2020/04-01-2021?h1=2,3,1,00:01:40,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7493/0/punta-cana-republica-dominicana/31-03-2021/07-04-2021?h1=3,3,1,00:01:34,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8070/0/salvador-brasil/11-07-2021/25-07-2021?h1=2,3,1,00:02:10,0,"0,00 %","33,33 %","0,00 US$"
/es/delfos/hoteles/resultados/9486/0/tulum-mexico/28-12-2020/04-01-2021?h1=2,3,1,00:00:13,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10342/0/akumal-mexico/28-12-2020/04-01-2021?h1=2,2,1,00:00:20,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10378/0/cayo-santa-maria-cuba/11-01-2021/15-01-2021?h1=2,2,1,00:00:36,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10378/0/cayo-santa-maria-cuba/11-03-2021/15-03-2021?h1=2,2,1,00:00:17,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10378/0/cayo-santa-maria-cuba/11-04-2021/15-04-2021?h1=2,2,1,00:00:28,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1369/0/buenos-aires-ar-argentina/03-11-2020/04-11-2020?h1=1,2,2,00:00:00,1,"100,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1441/0/buzios-brasil/13-07-2021/18-07-2021?h1=2,2,1,00:00:39,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1537/0/cancuncosta-mujeres-mexico/02-09-2021/09-09-2021?h1=2,2,2,00:00:18,1,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1670/0/cayo-coco-cuba/10-07-2021/18-07-2021?h1=2,2,1,00:00:20,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/05-01-2021/09-01-2021?h1=2,2,1,00:21:17,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/11-03-2021/12-03-2021?h1=2,2,1,00:00:42,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/2577/0/el-calafate-argentina/22-02-2021/26-02-2021?h1=2,2,1,00:05:51,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/10-03-2021/11-03-2021?h1=2,2,1,00:00:11,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/10-04-2021/11-04-2021?h1=2,2,1,00:01:05,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/19-02-2021/22-02-2021?h1=2,2,1,00:00:13,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/19-03-2021/22-03-2021?h1=2,2,1,00:00:10,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/3534/0/la-habana-cuba/19-04-2021/22-04-2021?h1=2,2,1,00:00:07,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/6792/0/orlando-estados-unidos/23-09-2021/26-09-2021?h1=2,2,1,00:01:44,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7463/0/puerto-madryn-argentina/02-01-2021/09-01-2021?h1=2,2,1,00:00:18,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7493/0/punta-cana-republica-dominicana/13-12-2020/21-12-2020?h1=3,2,1,00:01:37,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/7753/0/rio-de-janeiro-brasil/20-03-2021/28-03-2021?h1=2,2,1,00:02:01,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8070/0/salvador-brasil/29-12-2020/01-01-2021?h1=2,2,1,00:00:28,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/07-02-2021/08-02-2021?h1=3,2,1,00:05:07,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/11-01-2021/15-01-2021?h1=2,2,1,00:07:05,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/11-01-2021/15-01-2021?h1=2-4,2,1,00:00:34,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/20-03-2021/26-03-2021?h1=2,2,1,00:09:15,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/hoteles/resultados/8100/0/san-carlos-de-bariloche-argentina/25-01-2021/30-01-2021?h1=2,2,1,00:09:04,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9698/0/varadero-cuba/15-01-2021/19-01-2021?h1=2,2,1,00:00:15,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9698/0/varadero-cuba/15-03-2021/19-03-2021?h1=2,2,1,00:00:09,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9698/0/varadero-cuba/15-04-2021/19-04-2021?h1=2,2,1,00:00:37,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/32974/calafate-ushuaia?tipo=productos,2,1,00:09:04,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/BUE/IGR/19-07-2021/23-07-2021?adultos=1,2,1,00:02:04,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/vuelos/resultados/COR/CUN/12-12-2020/27-12-2020?clase=1&adultos=4,2,1,00:01:48,0,"0,00 %","50,00 %","0,00 US$"
/es/delfos/cotizador-offline/home/resultados/CCC/08-07-2021/16-07-2021,1,1,00:00:47,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/cotizador-offline/home/resultados/HAV/08-07-2021/16-07-2021,1,1,00:02:46,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/cotizador-offline/home/resultados/SNU/08-07-2021/16-07-2021,1,1,00:00:51,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/detalle-producto/960/rio-de-janeiro,1,1,00:00:17,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10346/0/bayahibe-republica-dominicana/07-05-2021/21-05-2021?h1=2,1,1,00:22:45,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10346/0/bayahibe-republica-dominicana/08-03-2021/15-03-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10346/0/bayahibe-republica-dominicana/09-11-2021/14-11-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/10346/0/bayahibe-republica-dominicana/29-05-2021/05-06-2021?h1=2-8,8&h2=2-9,10",1,1,00:01:11,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10378/0/cayo-santa-maria-cuba/11-02-2021/15-02-2021?h1=2,1,1,00:00:08,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10385/0/el-chalten-argentina/12-03-2021/13-03-2021?h1=2,1,1,00:03:20,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10396/0/morro-de-sao-pablo-brasil/01-01-2021/06-01-2021?h1=2,1,1,00:01:17,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10396/0/morro-de-sao-pablo-brasil/01-01-2021/06-01-2021?h1=3,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/10402/0/purmamarca-argentina/09-05-2021/10-05-2021?h1=2,1,1,00:00:29,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/12493/0/ilha-grande-brasil/02-01-2021/07-01-2021?h1=2,1,1,00:04:22,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/12493/0/ilha-grande-brasil/02-01-2021/07-01-2021?h1=3,1,1,00:12:14,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1369/0/buenos-aires-ar-argentina/02-02-2021/04-02-2021?h1=2,1,1,00:00:41,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1369/0/buenos-aires-ar-argentina/02-02-2021/04-02-2021?h1=2-2,1,1,00:00:29,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1369/0/buenos-aires-ar-argentina/02-02-2021/04-02-2021?h1=2-3,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1441/0/buzios-brasil/13-08-2021/18-08-2021?h1=2,1,1,00:00:16,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1441/0/buzios-brasil/13-09-2021/18-09-2021?h1=2,1,1,00:00:21,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/1441/0/buzios-brasil/13-10-2021/18-10-2021?h1=2,1,1,00:01:03,0,"0,00 %","0,00 %","0,00 US$"
