,es,argentur,hoteles,resultados,7200,0,playa-del-carmenriviera-maya-mexico,12-02-2021,19-02-2021,h1,2-3-1,8,2,00:05:03,0,"0,00 %","12,50 %","0,00 US$"
,es,camilalopez,vuelos,resultados,BUE,FTE,31-01-2021,05-02-2021,adultos,2,8,4,00:01:40,0,"0,00 %","12,50 %","0,00 US$"
,es,delfos,hoteles,resultados,1537,0,cancuncosta-mujeres-mexico,20-02-2021,26-02-2021,h1,2,8,4,00:03:46,2,"0,00 %","37,50 %","0,00 US$"
,es,delfos,hoteles,resultados,1537,0,cancuncosta-mujeres-mexico,27-03-2021,03-04-2021,h1,2,8,3,00:02:30,2,"0,00 %","12,50 %","0,00 US$"
,es,newbiztravel,hoteles,resultados,7493,0,punta-cana-republica-dominicana,07-02-2021,09-02-2021,h1,2-0-1&h2,2-5,8,1,00:01:36,0,"0,00 %","12,50 %","0,00 US$"
,es,travelwise,hoteles,resultados,5796,0,miami-fl-estados-unidos,25-01-2021,03-02-2021,h1,3,8,3,00:06:29,0,"0,00 %","25,00 %","0,00 US$"
,es,calipsoviajes,hoteles,resultados,12551,0,bacalar-mexico,10-02-2021,11-02-2021,h1,2,7,2,00:04:50,0,"0,00 %","0,00 %","0,00 US$"
,es,delfos,hoteles,resultados,10346,0,bayahibe-republica-dominicana,17-06-2021,24-06-2021,h1,2-4,7,2,00:11:09,0,"0,00 %","28,57 %","0,00 US$"
",es,delfos,hoteles,resultados,5796,0,miami-fl-estados-unidos,30-01-2021,17-02-2021,h1,1-10&h2,1-13,15",7,2,00:04:54,1,"0,00 %","28,57 %","0,00 US$"
,es,delfos,hoteles,resultados,7200,0,playa-del-carmenriviera-maya-mexico,08-02-2021,16-02-2021,h1,2,7,1,00:02:07,0,"0,00 %","14,29 %","0,00 US$"
,es,delfos,hoteles,resultados,7200,0,playa-del-carmenriviera-maya-mexico,19-06-2021,26-06-2021,h1,2,7,5,00:07:47,2,"0,00 %","14,29 %","0,00 US$"
,es,delfos,productos,detalle,941,mar-del-plata-clasico,tipo,productos,7,7,00:04:30,1,"100,00 %","42,86 %","0,00 US$"
,es,nelquihueviajes,hoteles,resultados,777,0,barcelona-espaa,18-09-2021,22-09-2021,h1,3,7,2,00:04:08,1,"100,00 %","28,57 %","0,00 US$"
,es,onetrip,hoteles,resultados,1537,0,cancuncosta-mujeres-mexico,16-11-2021,18-11-2021,h1,4-0-1,7,1,00:01:13,1,"0,00 %","14,29 %","0,00 US$"
",es,onetriplasrosas,hoteles,resultados,7753,0,rio-de-janeiro-brasil,04-09-2021,11-09-2021,h1,2-5,7",7,1,00:01:00,0,"0,00 %","14,29 %","0,00 US$"
