Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
VUELE ONLINE-CLUB DE P,AÉREO,,,,,,,,"15,880.78","8,721.96","11,078.87","4,034.87","9,762.44","49,478.92",Grande,Frecuente,
HIMALAYA CORDILLERA,AÉREO,"12,266.00",16.10,,,,"5,842.59","2,687.75",,"2,441.23",926.15,173.00,181.14,"24,533.97",Mediano,Frecuente,
HIMALAYA CORDILLERA,TERRESTRE,"10,534.30",954.00,,,,"3,420.25",689.00,"1,506.00",,"1,663.58","2,491.14",499.69,"21,757.96",Mediano,Frecuente,
"ZAMBRANA, JORGE ALEJAN",AÉREO,,,,,,,,,,,"45,732.34",,"45,732.34",Grande,Poco Frecuente,
PENINSULAR VIAJES Y TU,AÉREO,"15,646.32",433.79,,,"1,184.04",,"1,421.43",,,,,498.30,"19,183.87",Mediano,Frecuente,
PENINSULAR VIAJES Y TU,TERRESTRE,"3,274.64","2,849.97",,,,,"2,698.42","15,817.42",,,506.36,617.26,"25,764.07",Grande,Frecuente,
SADOP,AÉREO,"29,838.80","9,406.24",,,,,,,,"2,703.56",,531.32,"42,479.91",Grande,Poco Frecuente,
SADOP,TERRESTRE,416.40,,,,,,,,,,,,416.40,Pequeño,Poco Frecuente,
TRAMUNTANA,AÉREO,,,,,,,,,,"1,620.86",,,"1,620.86",Mediano,Poco Frecuente,
TRAMUNTANA,TERRESTRE,"11,872.62","3,453.53",,"10,633.00","1,556.48",,,,,"9,154.00","1,152.00","1,769.00","39,590.63",Grande,Frecuente,
POTENZA VIAJES,AÉREO,"14,483.88","6,638.28",,,,"1,771.68","4,539.53",723.91,,902.94,"5,376.71",,"34,436.95",Mediano,Frecuente,Contactar
POTENZA VIAJES,TERRESTRE,"3,304.15",173.03,,,,,,"1,585.00",,,236.00,757.00,"6,055.18",Mediano,Frecuente,
DE LA GRAN ITALIA VIAJ,AÉREO,"1,381.77","2,185.21",,,,"6,883.76","1,601.92",,922.18,"2,924.47","3,301.73","4,673.33","23,874.38",Mediano,Frecuente,
DE LA GRAN ITALIA VIAJ,TERRESTRE,988.53,,,,,"3,071.12",,805.57,"2,974.76","3,908.18","2,574.13","1,030.53","15,352.81",Mediano,Frecuente,
NO USAR** EXPENDER TRA,AÉREO,"12,445.88","4,223.58",,81.78,"10,091.58","8,972.11","3,069.93",,,,,,"38,884.87",Mediano,Frecuente,Contactar
NO USAR** EXPENDER TRA,TERRESTRE,61.74,,,,,,,,,,,,61.74,Pequeño,Poco Frecuente,
